time	V(6)
7.209510822663444e-004	-1.078685e+001
7.404823322663444e-004	-1.096510e+001
7.600135822663444e-004	-1.097849e+001
7.795448322663445e-004	-1.082680e+001
7.990760822663445e-004	-1.051233e+001
8.186073322663445e-004	-1.003980e+001
8.381385822663445e-004	-9.416325e+000
8.576698322663445e-004	-8.651292e+000
8.772010822663445e-004	-7.756216e+000
8.967323322663446e-004	-6.744569e+000
9.162635822663446e-004	-5.631580e+000
9.357948322663446e-004	-4.434016e+000
9.553260822663446e-004	-3.169964e+000
9.650917072663446e-004	-2.518979e+000
9.748573322663446e-004	-1.858739e+000
9.846229572663446e-004	-1.192135e+000
9.943885822663446e-004	-5.247139e-001
1.001015155385016e-003	-7.347368e-002
1.010538237886904e-003	5.834228e-001
1.014971184746548e-003	8.954903e-001
1.020257529441228e-003	1.264340e+000
1.026147381518791e-003	1.667639e+000
1.035913006518791e-003	2.330652e+000
1.045678631518791e-003	2.985111e+000
1.065209881518792e-003	4.257429e+000
1.074975506518792e-003	4.870634e+000
1.084741131518792e-003	5.465463e+000
1.094506756518792e-003	6.039686e+000
1.104272381518792e-003	6.591145e+000
1.114038006518792e-003	7.117767e+000
1.123803631518792e-003	7.617574e+000
1.133569256518792e-003	8.088684e+000
1.143334881518792e-003	8.529326e+000
1.153100506518792e-003	8.937843e+000
1.162866131518792e-003	9.312696e+000
1.172631756518792e-003	9.652476e+000
1.182397381518792e-003	9.955905e+000
1.192163006518792e-003	1.022184e+001
1.201928631518792e-003	1.044928e+001
1.211694256518792e-003	1.063738e+001
1.221459881518792e-003	1.078542e+001
1.231225506518792e-003	1.089284e+001
1.240991131518792e-003	1.095926e+001
1.250756756518792e-003	1.098440e+001
1.260522381518792e-003	1.096819e+001
1.270288006518792e-003	1.091069e+001
1.280053631518792e-003	1.081210e+001
1.289819256518792e-003	1.067281e+001
1.299584881518792e-003	1.049334e+001
1.309350506518792e-003	1.027436e+001
1.319116131518792e-003	1.001670e+001
1.328881756518792e-003	9.721333e+000
1.338647381518792e-003	9.389366e+000
1.348413006518792e-003	9.022050e+000
1.358178631518792e-003	8.620770e+000
1.367944256518792e-003	8.187035e+000
1.377709881518792e-003	7.722478e+000
1.387475506518792e-003	7.228849e+000
1.397241131518792e-003	6.708007e+000
1.407006756518792e-003	6.161912e+000
1.416772381518792e-003	5.592623e+000
1.426538006518792e-003	5.002286e+000
1.436303631518792e-003	4.393128e+000
1.455834881518792e-003	3.127636e+000
1.465600506518792e-003	2.476127e+000
1.475366131518792e-003	1.815503e+000
1.485131756518792e-003	1.148706e+000
1.494897381518792e-003	4.822052e-001
1.501456734138277e-003	3.619214e-002
1.509870809807159e-003	-5.452641e-001
1.514491114758160e-003	-8.706588e-001
1.519758391512575e-003	-1.237759e+000
1.525456164545106e-003	-1.628129e+000
1.535221789545106e-003	-2.291668e+000
1.544987414545106e-003	-2.946831e+000
1.564518664545106e-003	-4.221058e+000
1.584049914545106e-003	-5.431675e+000
1.603581164545106e-003	-6.560580e+000
1.623112414545106e-003	-7.590826e+000
1.642643664545106e-003	-8.506931e+000
1.662174914545106e-003	-9.295126e+000
1.681706164545106e-003	-9.943562e+000
1.701237414545106e-003	-1.044249e+001
1.720768664545106e-003	-1.078442e+001
1.740299914545106e-003	-1.096420e+001
1.759831164545106e-003	-1.097913e+001
1.779362414545106e-003	-1.082898e+001
1.798893664545106e-003	-1.051601e+001
1.818424914545106e-003	-1.004492e+001
1.837956164545106e-003	-9.422819e+000
1.857487414545106e-003	-8.659059e+000
1.877018664545106e-003	-7.765138e+000
1.896549914545106e-003	-6.754511e+000
1.916081164545106e-003	-5.642394e+000
1.935612414545106e-003	-4.445539e+000
1.955143664545106e-003	-3.182019e+000
1.964909289545106e-003	-2.531233e+000
1.974674914545106e-003	-1.871140e+000
1.984440539545106e-003	-1.204621e+000
1.994206164545106e-003	-5.370241e-001
2.000853712566055e-003	-8.427674e-002
2.010619337566055e-003	5.889362e-001
2.014988143552843e-003	8.964648e-001
2.020291861199718e-003	1.266685e+000
2.026224342286881e-003	1.672896e+000
2.035989967286881e-003	2.335848e+000
2.045755592286880e-003	2.990227e+000
2.065286842286880e-003	4.262327e+000
2.075052467286880e-003	4.875396e+000
2.084818092286880e-003	5.470072e+000
2.094583717286879e-003	6.044124e+000
2.104349342286879e-003	6.595395e+000
2.114114967286879e-003	7.121814e+000
2.123880592286879e-003	7.621401e+000
2.133646217286879e-003	8.092278e+000
2.143411842286878e-003	8.532673e+000
2.153177467286878e-003	8.940930e+000
2.162943092286878e-003	9.315513e+000
2.172708717286878e-003	9.655011e+000
2.182474342286877e-003	9.958149e+000
2.192239967286877e-003	1.022379e+001
2.202005592286877e-003	1.045092e+001
2.211771217286877e-003	1.063870e+001
2.221536842286877e-003	1.078642e+001
2.231302467286876e-003	1.089353e+001
2.241068092286876e-003	1.095962e+001
2.250833717286876e-003	1.098444e+001
2.260599342286876e-003	1.096790e+001
2.270364967286876e-003	1.091007e+001
2.280130592286875e-003	1.081116e+001
2.289896217286875e-003	1.067155e+001
2.299661842286875e-003	1.049177e+001
2.309427467286875e-003	1.027248e+001
2.319193092286875e-003	1.001452e+001
2.328958717286874e-003	9.718858e+000
2.338724342286874e-003	9.386607e+000
2.348489967286874e-003	9.019018e+000
2.358255592286874e-003	8.617476e+000
2.368021217286874e-003	8.183492e+000
2.377786842286873e-003	7.718699e+000
2.387552467286873e-003	7.224848e+000
2.397318092286873e-003	6.703799e+000
2.407083717286873e-003	6.157514e+000
2.416849342286873e-003	5.588050e+000
2.426614967286872e-003	4.997556e+000
2.436380592286872e-003	4.388259e+000
2.455911842286872e-003	3.122544e+000
2.465677467286871e-003	2.470953e+000
2.475443092286871e-003	1.810268e+000
2.485208717286871e-003	1.143438e+000
2.494974342286871e-003	4.770749e-001
2.501527761392956e-003	3.151626e-002
2.509799495524215e-003	-5.403794e-001
2.514508015546517e-003	-8.719890e-001
2.519786620083351e-003	-1.239719e+000
2.525483547059484e-003	-1.630000e+000
2.535249172059483e-003	-2.293519e+000
2.545014797059483e-003	-2.948653e+000
2.564546047059483e-003	-4.222804e+000
2.584077297059482e-003	-5.433319e+000
2.603608547059482e-003	-6.562098e+000
2.623139797059481e-003	-7.592194e+000
2.642671047059481e-003	-8.508129e+000
2.652436672059481e-003	-8.918911e+000
2.671967922059480e-003	-9.638384e+000
2.691499172059480e-003	-1.021294e+001
2.711030422059480e-003	-1.063394e+001
2.730561672059479e-003	-1.089505e+001
2.750092922059479e-003	-1.099236e+001
2.769624172059478e-003	-1.092439e+001
2.789155422059478e-003	-1.069217e+001
2.808686672059477e-003	-1.029918e+001
