time	V(3)	V(6)
1.133569256518792e-003	7.425758e-001	8.088684e+000
1.143334881518792e-003	7.821068e-001	8.529326e+000
1.153100506518792e-003	8.186912e-001	8.937843e+000
1.162866131518792e-003	8.521912e-001	9.312696e+000
1.172631756518792e-003	8.824807e-001	9.652476e+000
1.182397381518792e-003	9.094458e-001	9.955905e+000
1.192163006518792e-003	9.329850e-001	1.022184e+001
1.201928631518792e-003	9.530096e-001	1.044928e+001
1.211694256518792e-003	9.694443e-001	1.063738e+001
1.221459881518792e-003	9.822273e-001	1.078542e+001
1.231225506518792e-003	9.913104e-001	1.089284e+001
1.240991131518792e-003	9.966595e-001	1.095926e+001
1.250756756518792e-003	9.982544e-001	1.098440e+001
1.260522381518792e-003	9.960891e-001	1.096819e+001
1.270288006518792e-003	9.901717e-001	1.091069e+001
1.280053631518792e-003	9.805247e-001	1.081210e+001
1.289819256518792e-003	9.671841e-001	1.067281e+001
1.299584881518792e-003	9.502002e-001	1.049334e+001
1.309350506518792e-003	9.296371e-001	1.027436e+001
1.319116131518792e-003	9.055720e-001	1.001670e+001
1.328881756518792e-003	8.780956e-001	9.721333e+000
1.338647381518792e-003	8.473112e-001	9.389366e+000
1.348413006518792e-003	8.133348e-001	9.022050e+000
1.358178631518792e-003	7.762942e-001	8.620770e+000
1.367944256518792e-003	7.363287e-001	8.187035e+000
1.377709881518792e-003	6.935890e-001	7.722478e+000
1.387475506518792e-003	6.482357e-001	7.228849e+000
1.397241131518792e-003	6.004397e-001	6.708007e+000
1.407006756518792e-003	5.503807e-001	6.161912e+000
1.416772381518792e-003	4.982473e-001	5.592623e+000
1.426538006518792e-003	4.442356e-001	5.002286e+000
1.436303631518792e-003	3.885489e-001	4.393128e+000
1.455834881518792e-003	2.729945e-001	3.127636e+000
1.465600506518792e-003	2.135618e-001	2.476127e+000
1.475366131518792e-003	1.533225e-001	1.815503e+000
1.485131756518792e-003	9.250361e-002	1.148706e+000
1.494897381518792e-003	3.134254e-002	4.822052e-001
1.501456734138277e-003	-9.829167e-003	3.619214e-002
1.509870809807159e-003	-6.264417e-002	-5.452641e-001
1.514491114758160e-003	-9.159175e-002	-8.706588e-001
1.519758391512575e-003	-1.244827e-001	-1.237759e+000
1.525456164545106e-003	-1.598661e-001	-1.628129e+000
1.535221789545106e-003	-2.199916e-001	-2.291668e+000
1.544987414545106e-003	-2.793496e-001	-2.946831e+000
1.564518664545106e-003	-3.947005e-001	-4.221058e+000
1.584049914545106e-003	-5.041266e-001	-5.431675e+000
1.603581164545106e-003	-6.059819e-001	-6.560580e+000
