Freq.	V(o)
Step Information: Sim=1  (Run: 1/4)
1.77827941003893e+001	(-6.09754911110103e+001dB,8.91806247099978e+001°)
1.79887091512879e+001	(-6.08755117981008e+001dB,8.91711381074038e+001°)
1.81970085860999e+001	(-6.07755329669535e+001dB,8.91615417013718e+001°)
1.84077200146896e+001	(-6.06755546287853e+001dB,8.91518342220623e+001°)
1.86208713666287e+001	(-6.05755767950741e+001dB,8.91420143849891e+001°)
1.88364908948981e+001	(-6.04755994775651e+001dB,8.91320808908513e+001°)
1.90546071796325e+001	(-6.03756226882764e+001dB,8.91220324253641e+001°)
1.92752491319094e+001	(-6.02756464395063e+001dB,8.91118676590871e+001°)
1.94984459975805e+001	(-6.01756707438389e+001dB,8.91015852472513e+001°)
1.97242273611486e+001	(-6.00756956141514e+001dB,8.90911838295838e+001°)
1.99526231496889e+001	(-5.99757210636204e+001dB,8.90806620301308e+001°)
2.01836636368157e+001	(-5.98757471057293e+001dB,8.90700184570781e+001°)
2.04173794466954e+001	(-5.97757737542752e+001dB,8.90592517025706e+001°)
2.06538015581054e+001	(-5.96758010233762e+001dB,8.90483603425285e+001°)
2.08929613085405e+001	(-5.95758289274789e+001dB,8.90373429364628e+001°)
2.11348903983666e+001	(-5.94758574813661e+001dB,8.90261980272877e+001°)
2.13796208950224e+001	(-5.93758867001644e+001dB,8.90149241411314e+001°)
2.16271852372703e+001	(-5.92759165993524e+001dB,8.90035197871450e+001°)
2.18776162394956e+001	(-5.91759471947689e+001dB,8.89919834573088e+001°)
2.21309470960565e+001	(-5.90759785026211e+001dB,8.89803136262369e+001°)
2.23872113856835e+001	(-5.89760105394932e+001dB,8.89685087509793e+001°)
2.26464430759307e+001	(-5.88760433223552e+001dB,8.89565672708219e+001°)
2.29086765276778e+001	(-5.87760768685720e+001dB,8.89444876070850e+001°)
2.31739464996849e+001	(-5.86761111959124e+001dB,8.89322681629182e+001°)
2.34422881531993e+001	(-5.85761463225584e+001dB,8.89199073230944e+001°)
2.37137370566167e+001	(-5.84761822671149e+001dB,8.89074034538007e+001°)
2.39883291901950e+001	(-5.83762190486197e+001dB,8.88947549024276e+001°)
2.42661009508243e+001	(-5.82762566865534e+001dB,8.88819599973553e+001°)
2.45470891568504e+001	(-5.81762952008495e+001dB,8.88690170477384e+001°)
2.48313310529558e+001	(-5.80763346119053e+001dB,8.88559243432873e+001°)
2.51188643150959e+001	(-5.79763749405922e+001dB,8.88426801540485e+001°)
2.54097270554932e+001	(-5.78764162082672e+001dB,8.88292827301810e+001°)
2.57039578276888e+001	(-5.77764584367839e+001dB,8.88157303017320e+001°)
2.60015956316529e+001	(-5.76765016485041e+001dB,8.88020210784085e+001°)
2.63026799189540e+001	(-5.75765458663094e+001dB,8.87881532493475e+001°)
2.66072505979882e+001	(-5.74765911136138e+001dB,8.87741249828836e+001°)
2.69153480392693e+001	(-5.73766374143752e+001dB,8.87599344263138e+001°)
2.72270130807793e+001	(-5.72766847931088e+001dB,8.87455797056600e+001°)
2.75422870333818e+001	(-5.71767332748999e+001dB,8.87310589254288e+001°)
2.78612116862979e+001	(-5.70767828854168e+001dB,8.87163701683688e+001°)
2.81838293126447e+001	(-5.69768336509243e+001dB,8.87015114952255e+001°)
2.85101826750393e+001	(-5.68768855982981e+001dB,8.86864809444935e+001°)
2.88403150312662e+001	(-5.67769387550385e+001dB,8.86712765321656e+001°)
2.91742701400118e+001	(-5.66769931492849e+001dB,8.86558962514804e+001°)
2.95120922666640e+001	(-5.65770488098308e+001dB,8.86403380726657e+001°)
2.98538261891798e+001	(-5.64771057661389e+001dB,8.86245999426805e+001°)
3.01995172040203e+001	(-5.63771640483566e+001dB,8.86086797849537e+001°)
3.05492111321553e+001	(-5.62772236873318e+001dB,8.85925754991200e+001°)
3.09029543251361e+001	(-5.61772847146295e+001dB,8.85762849607533e+001°)
3.12607936712397e+001	(-5.60773471625477e+001dB,8.85598060210975e+001°)
3.16227766016840e+001	(-5.59774110641353e+001dB,8.85431365067936e+001°)
3.19889510969142e+001	(-5.58774764532088e+001dB,8.85262742196051e+001°)
3.23593656929630e+001	(-5.57775433643702e+001dB,8.85092169361397e+001°)
3.27340694878840e+001	(-5.56776118330257e+001dB,8.84919624075690e+001°)
3.31131121482593e+001	(-5.55776818954035e+001dB,8.84745083593443e+001°)
3.34965439157830e+001	(-5.54777535885738e+001dB,8.84568524909099e+001°)
3.38844156139205e+001	(-5.53778269504673e+001dB,8.84389924754142e+001°)
3.42767786546453e+001	(-5.52779020198960e+001dB,8.84209259594167e+001°)
3.46736850452534e+001	(-5.51779788365731e+001dB,8.84026505625926e+001°)
3.50751873952570e+001	(-5.50780574411339e+001dB,8.83841638774347e+001°)
3.54813389233578e+001	(-5.49781378751574e+001dB,8.83654634689515e+001°)
3.58921934645008e+001	(-5.48782201811878e+001dB,8.83465468743632e+001°)
3.63078054770104e+001	(-5.47783044027573e+001dB,8.83274116027937e+001°)
3.67282300498087e+001	(-5.46783905844084e+001dB,8.83080551349605e+001°)
3.71535229097175e+001	(-5.45784787717176e+001dB,8.82884749228609e+001°)
3.75837404288447e+001	(-5.44785690113194e+001dB,8.82686683894550e+001°)
3.80189396320564e+001	(-5.43786613509305e+001dB,8.82486329283462e+001°)
3.84591782045356e+001	(-5.42787558393751e+001dB,8.82283659034580e+001°)
3.89045144994284e+001	(-5.41788525266101e+001dB,8.82078646487080e+001°)
3.93550075455780e+001	(-5.40789514637519e+001dB,8.81871264676785e+001°)
3.98107170553500e+001	(-5.39790527031026e+001dB,8.81661486332840e+001°)
4.02717034325462e+001	(-5.38791562981776e+001dB,8.81449283874356e+001°)
4.07380277804116e+001	(-5.37792623037339e+001dB,8.81234629407021e+001°)
4.12097519097333e+001	(-5.36793707757982e+001dB,8.81017494719678e+001°)
4.16869383470339e+001	(-5.35794817716970e+001dB,8.80797851280874e+001°)
4.21696503428586e+001	(-5.34795953500857e+001dB,8.80575670235371e+001°)
4.26579518801596e+001	(-5.33797115709801e+001dB,8.80350922400630e+001°)
4.31519076827769e+001	(-5.32798304957873e+001dB,8.80123578263259e+001°)
4.36515832240170e+001	(-5.31799521873380e+001dB,8.79893607975429e+001°)
4.41570447353316e+001	(-5.30800767099192e+001dB,8.79660981351257e+001°)
4.46683592150967e+001	(-5.29802041293079e+001dB,8.79425667863157e+001°)
4.51855944374926e+001	(-5.28803345128056e+001dB,8.79187636638157e+001°)
4.57088189614879e+001	(-5.27804679292730e+001dB,8.78946856454182e+001°)
4.62381021399264e+001	(-5.26806044491664e+001dB,8.78703295736306e+001°)
4.67735141287202e+001	(-5.25807441445741e+001dB,8.78456922552972e+001°)
4.73151258961485e+001	(-5.24808870892544e+001dB,8.78207704612171e+001°)
4.78630092322643e+001	(-5.23810333586736e+001dB,8.77955609257600e+001°)
4.84172367584104e+001	(-5.22811830300457e+001dB,8.77700603464773e+001°)
4.89778819368451e+001	(-5.21813361823723e+001dB,8.77442653837112e+001°)
4.95450190804795e+001	(-5.20814928964840e+001dB,8.77181726601997e+001°)
5.01187233627277e+001	(-5.19816532550824e+001dB,8.76917787606781e+001°)
5.06990708274709e+001	(-5.18818173427832e+001dB,8.76650802314782e+001°)
5.12861383991370e+001	(-5.17819852461597e+001dB,8.76380735801227e+001°)
5.18800038928966e+001	(-5.16821570537886e+001dB,8.76107552749179e+001°)
5.24807460249778e+001	(-5.15823328562956e+001dB,8.75831217445419e+001°)
5.30884444230993e+001	(-5.14825127464022e+001dB,8.75551693776300e+001°)
5.37031796370258e+001	(-5.13826968189744e+001dB,8.75268945223571e+001°)
5.43250331492439e+001	(-5.12828851710714e+001dB,8.74982934860161e+001°)
5.49540873857630e+001	(-5.11830779019964e+001dB,8.74693625345939e+001°)
5.55904257270409e+001	(-5.10832751133475e+001dB,8.74400978923435e+001°)
5.62341325190355e+001	(-5.09834769090710e+001dB,8.74104957413536e+001°)
5.68852930843847e+001	(-5.08836833955145e+001dB,8.73805522211144e+001°)
5.75439937337163e+001	(-5.07838946814825e+001dB,8.73502634280802e+001°)
5.82103217770877e+001	(-5.06841108782923e+001dB,8.73196254152301e+001°)
5.88843655355595e+001	(-5.05843320998319e+001dB,8.72886341916238e+001°)
5.95662143529017e+001	(-5.04845584626183e+001dB,8.72572857219556e+001°)
6.02559586074364e+001	(-5.03847900858581e+001dB,8.72255759261053e+001°)
6.09536897240175e+001	(-5.02850270915087e+001dB,8.71935006786855e+001°)
6.16595001861489e+001	(-5.01852696043414e+001dB,8.71610558085866e+001°)
6.23734835482426e+001	(-5.00855177520056e+001dB,8.71282370985187e+001°)
6.30957344480200e+001	(-4.99857716650943e+001dB,8.70950402845503e+001°)
6.38263486190555e+001	(-4.98860314772116e+001dB,8.70614610556450e+001°)
6.45654229034662e+001	(-4.97862973250413e+001dB,8.70274950531946e+001°)
6.53130552647479e+001	(-4.96865693484169e+001dB,8.69931378705503e+001°)
6.60693448007603e+001	(-4.95868476903938e+001dB,8.69583850525508e+001°)
6.68343917568622e+001	(-4.94871324973221e+001dB,8.69232320950477e+001°)
6.76082975391989e+001	(-4.93874239189222e+001dB,8.68876744444293e+001°)
6.83911647281437e+001	(-4.92877221083612e+001dB,8.68517074971410e+001°)
6.91830970918944e+001	(-4.91880272223312e+001dB,8.68153265992039e+001°)
6.99841996002281e+001	(-4.90883394211295e+001dB,8.67785270457311e+001°)
7.07945784384146e+001	(-4.89886588687407e+001dB,8.67413040804418e+001°)
7.16143410212910e+001	(-4.88889857329199e+001dB,8.67036528951733e+001°)
7.24435960074998e+001	(-4.87893201852787e+001dB,8.66655686293913e+001°)
7.32824533138912e+001	(-4.86896624013727e+001dB,8.66270463696980e+001°)
7.41310241300926e+001	(-4.85900125607902e+001dB,8.65880811493384e+001°)
7.49894209332465e+001	(-4.84903708472442e+001dB,8.65486679477057e+001°)
7.58577575029193e+001	(-4.83907374486656e+001dB,8.65088016898440e+001°)
7.67361489361828e+001	(-4.82911125572982e+001dB,8.64684772459509e+001°)
7.76247116628701e+001	(-4.81914963697966e+001dB,8.64276894308775e+001°)
7.85235634610081e+001	(-4.80918890873254e+001dB,8.63864330036286e+001°)
