time	V(6)	V(n006)
Step Information: Vdc=-500m  (Run: 1/3)
1.630916585934985e-003	-1.329921e+001	-1.232894e+000
1.631887992073111e-003	-1.330234e+001	-1.237027e+000
1.633383370401576e-003	-1.330611e+001	-1.243337e+000
1.635032474307095e-003	-1.330926e+001	-1.250206e+000
1.638330682118132e-003	-1.331376e+001	-1.263706e+000
1.641522542370466e-003	-1.331674e+001	-1.276465e+000
1.646029374867653e-003	-1.331942e+001	-1.293927e+000
1.651006793609364e-003	-1.332127e+001	-1.312419e+000
1.658504819385863e-003	-1.332288e+001	-1.338783e+000
1.666139283286781e-003	-1.332379e+001	-1.363726e+000
1.675904908286781e-003	-1.332438e+001	-1.392733e+000
1.685670533286781e-003	-1.332469e+001	-1.418555e+000
1.695436158286781e-003	-1.332486e+001	-1.440919e+000
1.705201783286781e-003	-1.332495e+001	-1.459743e+000
1.714967408286781e-003	-1.332500e+001	-1.474954e+000
1.724733033286781e-003	-1.332503e+001	-1.486495e+000
1.734498658286781e-003	-1.332505e+001	-1.494324e+000
1.744264283286781e-003	-1.332505e+001	-1.498410e+000
1.754029908286781e-003	-1.332505e+001	-1.498739e+000
1.763795533286781e-003	-1.332505e+001	-1.495308e+000
1.773561158286781e-003	-1.332504e+001	-1.488132e+000
1.783326783286781e-003	-1.332501e+001	-1.477236e+000
1.793092408286781e-003	-1.332496e+001	-1.462662e+000
1.802858033286781e-003	-1.332488e+001	-1.444465e+000
1.812623658286781e-003	-1.332473e+001	-1.422713e+000
1.822389283286781e-003	-1.332444e+001	-1.397488e+000
1.832154908286781e-003	-1.332388e+001	-1.368885e+000
1.841920533286781e-003	-1.332268e+001	-1.337012e+000
1.851686158286781e-003	-1.331975e+001	-1.301989e+000
1.861451783286781e-003	-1.331279e+001	-1.264218e+000
1.867504321118730e-003	-1.330329e+001	-1.239458e+000
1.870991085393735e-003	-1.329183e+001	-1.224634e+000
1.873305430407696e-003	-1.327648e+001	-1.214562e+000
1.875340480244619e-003	-1.325076e+001	-1.205564e+000
1.877310725842003e-003	-1.320655e+001	-1.196737e+000
1.879454407509958e-003	-1.313262e+001	-1.187006e+000
1.881946672623926e-003	-1.302287e+001	-1.175540e+000
1.884321724259825e-003	-1.290634e+001	-1.164463e+000
1.886871704627625e-003	-1.277556e+001	-1.152382e+000
1.906195854598403e-003	-1.171832e+001	-1.055432e+000
1.925727104598403e-003	-1.056079e+001	-9.494919e-001
1.945258354598403e-003	-9.328420e+000	-8.368928e-001
1.964789604598403e-003	-8.038582e+000	-7.192267e-001
1.984320854598403e-003	-6.710665e+000	-5.982631e-001
2.003852104598402e-003	-5.364646e+000	-4.758216e-001
2.023383354598402e-003	-4.020804e+000	-3.537438e-001
2.042914604598402e-003	-2.699446e+000	-2.338658e-001
2.052680229598401e-003	-2.053523e+000	-1.753172e-001
2.062445854598401e-003	-1.420907e+000	-1.179907e-001
