time	V(file_1)	V(file_1)-V(wh_2)	V(wh_2)
3.607999999999841e-002	4.098728e-002	4.928193e-001	-4.518320e-001
3.623999999999524e-002	3.012184e-002	4.445795e-001	-4.144576e-001
3.655999999998890e-002	8.390960e-003	3.264479e-001	-3.180569e-001
3.700000000000000e-002	-2.148900e-002	1.787652e-001	-2.002542e-001
3.706399999999873e-002	-1.848727e-002	1.679591e-001	-1.864464e-001
3.719199999999619e-002	-1.248382e-002	1.107146e-001	-1.231984e-001
3.744799999999112e-002	-4.769038e-004	-5.756320e-002	5.708629e-002
3.795999999998097e-002	2.353692e-002	-3.905019e-001	4.140388e-001
3.800000000000000e-002	2.541300e-002	-4.032596e-001	4.286726e-001
3.900000000000000e-002	4.906320e-001	6.525907e-002	4.253729e-001
3.906400000003044e-002	3.836173e-001	-3.693122e-002	4.205486e-001
3.919200000009132e-002	1.695880e-001	-2.288621e-001	3.984502e-001
3.996000000045660e-002	-1.114588e+000	-1.325331e+000	2.107433e-001
4.000000000000000e-002	-1.181472e+000	-1.387102e+000	2.056303e-001
4.007999999908681e-002	-1.118332e+000	-1.332415e+000	2.140832e-001
4.023999999726043e-002	-9.920508e-001	-1.242611e+000	2.505602e-001
4.055999999360768e-002	-7.394892e-001	-1.084136e+000	3.446464e-001
4.100000000000000e-002	-3.922170e-001	-8.518377e-001	4.596207e-001
4.200000000000000e-002	5.703740e-001	1.009753e-001	4.693987e-001
4.208000002191654e-002	5.419282e-001	8.878767e-002	4.531405e-001
4.224000006574964e-002	4.850365e-001	1.020562e-001	3.829802e-001
4.256000015341584e-002	3.712531e-001	1.692389e-001	2.020142e-001
4.300000000000000e-002	2.148010e-001	2.339292e-001	-1.912815e-002
4.306400001753324e-002	2.175647e-001	2.407366e-001	-2.317183e-002
4.319200005259972e-002	2.230921e-001	2.647864e-001	-4.169429e-002
4.344800012273267e-002	2.341470e-001	3.286384e-001	-9.449145e-002
4.396000026299858e-002	2.562567e-001	4.552832e-001	-1.990265e-001
4.400000000000000e-002	2.579840e-001	4.612961e-001	-2.033121e-001
4.407999947400283e-002	2.735527e-001	4.656600e-001	-1.921073e-001
4.423999842200850e-002	3.046901e-001	4.484443e-001	-1.437542e-001
4.455999631801984e-002	3.669649e-001	3.860007e-001	-1.903581e-002
4.500000000000000e-002	4.525940e-001	3.192197e-001	1.333743e-001
4.506399957920226e-002	4.211168e-001	2.915894e-001	1.295274e-001
4.519199873760680e-002	3.581623e-001	2.462558e-001	1.119065e-001
4.544799705441587e-002	2.322534e-001	1.705746e-001	6.167873e-002
4.595999368803401e-002	-1.956450e-002	1.820486e-002	-3.776936e-002
4.600000000000000e-002	-3.924100e-002	2.606094e-003	-4.184709e-002
4.608001262393198e-002	-1.243385e-001	-7.037437e-002	-5.396414e-002
4.624003787179594e-002	-2.945335e-001	-1.882823e-001	-1.062512e-001
