time	V(3)	V(6)
Step Information: Voutoff=0  (Run: 1/7)
1.416772381428435e-003	4.982473e-001	5.592623e+000
1.426538006428435e-003	4.442356e-001	5.002286e+000
1.436303631428435e-003	3.885489e-001	4.393128e+000
1.455834881428435e-003	2.729945e-001	3.127636e+000
1.465600506428435e-003	2.135618e-001	2.476127e+000
1.475366131428435e-003	1.533225e-001	1.815503e+000
1.485131756428435e-003	9.250361e-002	1.148706e+000
1.494897381428435e-003	3.134254e-002	4.822052e-001
1.501456734053096e-003	-9.829167e-003	3.619214e-002
1.509870809882041e-003	-6.264417e-002	-5.452641e-001
1.514491114738639e-003	-9.159175e-002	-8.706588e-001
1.519758391485391e-003	-1.244827e-001	-1.237759e+000
1.525456164527711e-003	-1.598661e-001	-1.628129e+000
1.535221789527711e-003	-2.199916e-001	-2.291668e+000
1.544987414527711e-003	-2.793496e-001	-2.946831e+000
1.564518664527711e-003	-3.947005e-001	-4.221058e+000
1.584049914527711e-003	-5.041266e-001	-5.431675e+000
1.603581164527711e-003	-6.059819e-001	-6.560580e+000
1.623112414527711e-003	-6.987348e-001	-7.590826e+000
1.642643664527711e-003	-7.809898e-001	-8.506931e+000
1.662174914527711e-003	-8.515099e-001	-9.295126e+000
1.681706164527711e-003	-9.092345e-001	-9.943562e+000
1.701237414527711e-003	-9.532953e-001	-1.044249e+001
1.720768664527711e-003	-9.830295e-001	-1.078442e+001
1.740299914527711e-003	-9.979900e-001	-1.096420e+001
1.759831164527711e-003	-9.979517e-001	-1.097913e+001
1.779362414527712e-003	-9.829153e-001	-1.082898e+001
1.798893664527712e-003	-9.531068e-001	-1.051601e+001
1.818424914527712e-003	-9.089746e-001	-1.004492e+001
1.837956164527712e-003	-8.511825e-001	-9.422819e+000
1.857487414527712e-003	-7.805997e-001	-8.659059e+000
1.877018664527712e-003	-6.982880e-001	-7.765138e+000
1.896549914527712e-003	-6.054853e-001	-6.754511e+000
1.916081164527712e-003	-5.035874e-001	-5.642394e+000
1.935612414527712e-003	-3.941272e-001	-4.445539e+000
1.955143664527711e-003	-2.787509e-001	-3.182019e+000
1.964909289527711e-003	-2.193838e-001	-2.531233e+000
1.974674914527711e-003	-1.591942e-001	-1.871140e+000
1.984440539527711e-003	-9.840876e-002	-1.204621e+000
1.994206164527711e-003	-3.726511e-002	-5.370241e-001
2.000853712553988e-003	4.455184e-003	-8.427677e-002
2.010619337553988e-003	6.574916e-002	5.889362e-001
2.014988143450349e-003	9.311536e-002	8.964648e-001
2.020291861120315e-003	1.262195e-001	1.266685e+000
2.026224342166230e-003	1.630374e-001	1.672896e+000
2.035989967166230e-003	2.231079e-001	2.335848e+000
2.045755592166230e-003	2.823915e-001	2.990227e+000
2.065286842166230e-003	3.975416e-001	4.262327e+000
2.075052467166229e-003	4.529749e-001	4.875396e+000
2.084818092166229e-003	5.067004e-001	5.470072e+000
2.094583717166229e-003	5.585157e-001	6.044124e+000
2.104349342166229e-003	6.082258e-001	6.595395e+000
2.114114967166229e-003	6.556438e-001	7.121814e+000
2.123880592166228e-003	7.005911e-001	7.621401e+000
