time	V(wh_1)	V(wh_1)-V(wh_2)	V(wh_2)
1.420485759703443e-001	3.544453e-001	8.482754e-003	3.459626e-001
1.430485759703443e-001	3.459626e-001	1.468936e-001	1.990689e-001
1.440485759703443e-001	1.990689e-001	8.615629e-002	1.129127e-001
1.450485759703444e-001	1.129127e-001	-6.043611e-002	1.733488e-001
1.460485759703444e-001	1.733488e-001	-6.034778e-002	2.336966e-001
1.470485759703444e-001	2.336966e-001	1.605825e-001	7.311404e-002
1.480485759703444e-001	7.311404e-002	7.175452e-002	1.359523e-003
1.490485759703444e-001	1.359523e-003	-2.278436e-001	2.292031e-001
1.500485759703444e-001	2.292031e-001	-1.042427e-001	3.334458e-001
1.510485759703444e-001	3.334458e-001	1.840691e-001	1.493767e-001
1.520485759703444e-001	1.493767e-001	1.934695e-001	-4.409277e-002
1.530485759703444e-001	-4.409277e-002	-8.436764e-002	4.027487e-002
1.540485759703444e-001	4.027487e-002	-2.698000e-001	3.100748e-001
1.550485759703444e-001	3.100748e-001	-8.299065e-002	3.930655e-001
1.560485759703444e-001	3.930655e-001	8.404544e-002	3.090200e-001
1.570485759703444e-001	3.090200e-001	7.153100e-002	2.374890e-001
1.580485759703444e-001	2.374890e-001	1.486583e-001	8.883071e-002
1.590485759703444e-001	8.883071e-002	1.605549e-001	-7.172418e-002
1.600485759703444e-001	-7.172418e-002	1.470418e-002	-8.642835e-002
1.610485759703444e-001	-8.642835e-002	5.852922e-002	-1.449576e-001
1.620485759703444e-001	-1.449576e-001	4.115808e-002	-1.861157e-001
1.630485759703444e-001	-1.861157e-001	-1.736025e-001	-1.251316e-002
1.640485759703444e-001	-1.251316e-002	-9.980089e-002	8.728772e-002
1.650485759703444e-001	8.728772e-002	-3.162548e-003	9.045027e-002
1.660485759703444e-001	9.045027e-002	-1.347211e-002	1.039224e-001
1.670485759703444e-001	1.039224e-001	2.030832e-002	8.361406e-002
1.680485759703444e-001	8.361406e-002	-4.822820e-003	8.843688e-002
1.690485759703444e-001	8.843688e-002	4.881889e-002	3.961799e-002
1.700485759703444e-001	3.961799e-002	1.086814e-001	-6.906344e-002
1.710485759703444e-001	-6.906344e-002	-6.333426e-003	-6.273001e-002
1.720485759703444e-001	-6.273001e-002	-9.001428e-002	2.728426e-002
1.730485759703444e-001	2.728426e-002	1.088602e-001	-8.157593e-002
