time	V(3)	V(6)
Step Information: Voutoff=0  (Run: 1/9)
5.213533439931707e-003	9.721326e-001	1.366835e+001
5.223299064931707e-003	9.842220e-001	1.380878e+001
5.233064689931706e-003	9.926040e-001	1.390849e+001
5.242830314931706e-003	9.972472e-001	1.396710e+001
5.252595939931706e-003	9.981339e-001	1.398448e+001
5.262361564931706e-003	9.952610e-001	1.396053e+001
5.272127189931706e-003	9.886390e-001	1.389525e+001
5.281892814931705e-003	9.782931e-001	1.378894e+001
5.291658439931705e-003	9.642621e-001	1.364203e+001
5.301424064931705e-003	9.465989e-001	1.345506e+001
5.311189689931705e-003	9.253699e-001	1.322872e+001
5.320955314931705e-003	9.006550e-001	1.296387e+001
5.330720939931704e-003	8.725473e-001	1.266151e+001
5.340486564931704e-003	8.411525e-001	1.232278e+001
5.350252189931704e-003	8.065889e-001	1.194895e+001
5.360017814931704e-003	7.689865e-001	1.154142e+001
5.369783439931703e-003	7.284867e-001	1.110174e+001
5.379549064931703e-003	6.852421e-001	1.063156e+001
5.389314689931703e-003	6.394154e-001	1.013264e+001
5.399080314931703e-003	5.911792e-001	9.606865e+000
5.408845939931703e-003	5.407149e-001	9.056214e+000
5.418611564931702e-003	4.882125e-001	8.482759e+000
5.428377189931702e-003	4.338695e-001	7.888657e+000
5.438142814931702e-003	3.778906e-001	7.276145e+000
5.457674064931702e-003	2.618731e-001	6.005178e+000
5.477205314931701e-003	1.419048e-001	4.688991e+000
5.496736564931701e-003	1.979033e-002	3.347429e+000
5.506502189931701e-003	-4.149826e-002	2.673471e+000
5.516267814931700e-003	-1.026336e-001	2.000835e+000
5.526033439931700e-003	-1.633854e-001	1.332217e+000
5.535799064931700e-003	-2.235245e-001	6.708475e-001
5.545564689931700e-003	-2.829016e-001	2.565279e-002
5.552447102948754e-003	-3.242034e-001	-4.217175e-001
5.556348345491375e-003	-3.473227e-001	-6.817496e-001
5.561048843673656e-003	-3.748569e-001	-9.958192e-001
5.565845000703240e-003	-4.025998e-001	-1.305583e+000
5.571838810138782e-003	-4.366505e-001	-1.683182e+000
5.581604435138782e-003	-4.908067e-001	-2.283314e+000
5.591370060138782e-003	-5.432727e-001	-2.864762e+000
5.601135685138782e-003	-5.936968e-001	-3.423975e+000
5.610901310138782e-003	-6.418894e-001	-3.958940e+000
5.620666935138781e-003	-6.876689e-001	-4.467662e+000
5.630432560138781e-003	-7.308632e-001	-4.948271e+000
5.640198185138781e-003	-7.713096e-001	-5.398955e+000
5.649963810138781e-003	-8.088560e-001	-5.818028e+000
5.659729435138781e-003	-8.433610e-001	-6.203915e+000
5.669495060138780e-003	-8.746948e-001	-6.555165e+000
5.679260685138780e-003	-9.027393e-001	-6.870460e+000
5.689026310138780e-003	-9.273892e-001	-7.148613e+000
5.698791935138780e-003	-9.485516e-001	-7.388580e+000
5.708557560138780e-003	-9.661468e-001	-7.589458e+000
5.718323185138779e-003	-9.801086e-001	-7.750491e+000
5.728088810138779e-003	-9.903845e-001	-7.871074e+000
5.737854435138779e-003	-9.969358e-001	-7.950754e+000
5.747620060138779e-003	-9.997379e-001	-7.989233e+000
5.757385685138779e-003	-9.987801e-001	-7.986364e+000
5.767151310138778e-003	-9.940662e-001	-7.942162e+000
5.776916935138778e-003	-9.856138e-001	-7.856791e+000
5.786682560138778e-003	-9.734547e-001	-7.730574e+000
5.796448185138778e-003	-9.576348e-001	-7.563986e+000
5.806213810138777e-003	-9.382135e-001	-7.357657e+000
5.815979435138777e-003	-9.152641e-001	-7.112363e+000
5.825745060138777e-003	-8.888727e-001	-6.829028e+000
5.835510685138777e-003	-8.591388e-001	-6.508721e+000
5.845276310138777e-003	-8.261743e-001	-6.152647e+000
5.855041935138776e-003	-7.901033e-001	-5.762151e+000
5.864807560138776e-003	-7.510614e-001	-5.338703e+000
5.874573185138776e-003	-7.091958e-001	-4.883902e+000
5.884338810138776e-003	-6.646639e-001	-4.399464e+000
5.894104435138776e-003	-6.176333e-001	-3.887222e+000
5.903870060138775e-003	-5.682812e-001	-3.349120e+000
5.913635685138775e-003	-5.167931e-001	-2.787214e+000
5.923401310138775e-003	-4.633631e-001	-2.203694e+000
5.933166935138775e-003	-4.081924e-001	-1.601032e+000
5.942932560138775e-003	-3.514903e-001	-9.839081e-001
5.952698185138774e-003	-2.934715e-001	-3.555315e-001
5.962437134829216e-003	-2.346131e-001	2.896987e-001
5.967305109426848e-003	-2.048243e-001	6.226448e-001
5.973089621303369e-003	-1.691117e-001	1.019503e+000
5.979209930621897e-003	-1.310765e-001	1.437495e+000
5.988975555621897e-003	-7.004048e-002	2.108780e+000
5.998741180621897e-003	-8.794287e-003	2.782463e+000
6.018272430621897e-003	1.135576e-001	4.129341e+000
6.037803680621896e-003	2.341894e-001	5.459005e+000
6.057334930621896e-003	3.512868e-001	6.751549e+000
6.067100555621896e-003	4.079568e-001	7.377807e+000
6.076866180621895e-003	4.630885e-001	7.987564e+000
6.086631805621895e-003	5.164742e-001	8.578526e+000
6.096397430621895e-003	5.679131e-001	9.148468e+000
6.106163055621895e-003	6.172114e-001	9.695248e+000
6.115928680621894e-003	6.641837e-001	1.021681e+001
6.125694305621894e-003	7.086532e-001	1.071118e+001
