Freq.	V(a)
8.51138038202372e+001	(-2.00000000153295e+001dB,1.79996629493372e+002°)
8.70963589956076e+001	(-2.00000000160519e+001dB,1.79996550984188e+002°)
8.91250938133741e+001	(-2.00000000168086e+001dB,1.79996470646289e+002°)
9.12010839355905e+001	(-2.00000000176007e+001dB,1.79996388437081e+002°)
9.33254300796986e+001	(-2.00000000184302e+001dB,1.79996304312974e+002°)
9.54992586021431e+001	(-2.00000000192988e+001dB,1.79996218229364e+002°)
9.77237220955805e+001	(-2.00000000202082e+001dB,1.79996130140610e+002°)
9.99999999999995e+001	(-2.00000000211606e+001dB,1.79996040000006e+002°)
1.02329299228075e+002	(-2.00000000221580e+001dB,1.79995947759757e+002°)
1.04712854805089e+002	(-2.00000000232021e+001dB,1.79995853370956e+002°)
1.07151930523760e+002	(-2.00000000242959e+001dB,1.79995756783558e+002°)
1.09647819614318e+002	(-2.00000000254409e+001dB,1.79995657946351e+002°)
1.12201845430196e+002	(-2.00000000266395e+001dB,1.79995556806929e+002°)
1.14815362149688e+002	(-2.00000000278954e+001dB,1.79995453311668e+002°)
1.17489755493952e+002	(-2.00000000292100e+001dB,1.79995347405692e+002°)
1.20226443461741e+002	(-2.00000000305864e+001dB,1.79995239032849e+002°)
1.23026877081237e+002	(-2.00000000320279e+001dB,1.79995128135679e+002°)
1.25892541179416e+002	(-2.00000000335373e+001dB,1.79995014655381e+002°)
1.28824955169313e+002	(-2.00000000351182e+001dB,1.79994898531788e+002°)
1.31825673855640e+002	(-2.00000000367731e+001dB,1.79994779703329e+002°)
1.34896288259165e+002	(-2.00000000385061e+001dB,1.79994658106999e+002°)
1.38038426460288e+002	(-2.00000000403209e+001dB,1.79994533678328e+002°)
1.41253754462275e+002	(-2.00000000422211e+001dB,1.79994406351340e+002°)
1.44543977074592e+002	(-2.00000000442108e+001dB,1.79994276058526e+002°)
1.47910838816820e+002	(-2.00000000462946e+001dB,1.79994142730802e+002°)
1.51356124843620e+002	(-2.00000000484763e+001dB,1.79994006297477e+002°)
1.54881661891247e+002	(-2.00000000507609e+001dB,1.79993866686211e+002°)
1.58489319246110e+002	(-2.00000000531533e+001dB,1.79993723822981e+002°)
1.62181009735892e+002	(-2.00000000556583e+001dB,1.79993577632039e+002°)
1.65958690743755e+002	(-2.00000000582811e+001dB,1.79993428035873e+002°)
1.69824365246173e+002	(-2.00000000610281e+001dB,1.79993274955165e+002°)
1.73780082874936e+002	(-2.00000000639043e+001dB,1.79993118308749e+002°)
1.77827941003891e+002	(-2.00000000669159e+001dB,1.79992958013569e+002°)
1.81970085860997e+002	(-2.00000000700696e+001dB,1.79992793984635e+002°)
1.86208713666286e+002	(-2.00000000733718e+001dB,1.79992626134977e+002°)
1.90546071796323e+002	(-2.00000000768298e+001dB,1.79992454375597e+002°)
1.94984459975803e+002	(-2.00000000804506e+001dB,1.79992278615428e+002°)
1.99526231496887e+002	(-2.00000000842422e+001dB,1.79992098761279e+002°)
2.04173794466952e+002	(-2.00000000882123e+001dB,1.79991914717789e+002°)
2.08929613085403e+002	(-2.00000000923698e+001dB,1.79991726387375e+002°)
2.13796208950222e+002	(-2.00000000967231e+001dB,1.79991533670183e+002°)
2.18776162394954e+002	(-2.00000001012815e+001dB,1.79991336464031e+002°)
2.23872113856832e+002	(-2.00000001060546e+001dB,1.79991134664357e+002°)
2.29086765276776e+002	(-2.00000001110529e+001dB,1.79990928164166e+002°)
2.34422881531991e+002	(-2.00000001162866e+001dB,1.79990716853967e+002°)
2.39883291901947e+002	(-2.00000001217671e+001dB,1.79990500621722e+002°)
2.45470891568501e+002	(-2.00000001275058e+001dB,1.79990279352781e+002°)
2.51188643150956e+002	(-2.00000001335149e+001dB,1.79990052929824e+002°)
2.57039578276885e+002	(-2.00000001398071e+001dB,1.79989821232800e+002°)
2.63026799189536e+002	(-2.00000001463960e+001dB,1.79989584138859e+002°)
2.69153480392690e+002	(-2.00000001532956e+001dB,1.79989341522291e+002°)
2.75422870333815e+002	(-2.00000001605203e+001dB,1.79989093254457e+002°)
2.81838293126443e+002	(-2.00000001680852e+001dB,1.79988839203723e+002°)
2.88403150312659e+002	(-2.00000001760069e+001dB,1.79988579235388e+002°)
2.95120922666637e+002	(-2.00000001843017e+001dB,1.79988313211613e+002°)
3.01995172040200e+002	(-2.00000001929878e+001dB,1.79988040991349e+002°)
3.09029543251357e+002	(-2.00000002020828e+001dB,1.79987762430260e+002°)
3.16227766016836e+002	(-2.00000002116067e+001dB,1.79987477380651e+002°)
3.23593656929626e+002	(-2.00000002215797e+001dB,1.79987185691384e+002°)
3.31131121482589e+002	(-2.00000002320221e+001dB,1.79986887207802e+002°)
3.38844156139200e+002	(-2.00000002429571e+001dB,1.79986581771645e+002°)
3.46736850452529e+002	(-2.00000002544073e+001dB,1.79986269220966e+002°)
3.54813389233573e+002	(-2.00000002663971e+001dB,1.79985949390048e+002°)
3.63078054770099e+002	(-2.00000002789520e+001dB,1.79985622109312e+002°)
3.71535229097170e+002	(-2.00000002920985e+001dB,1.79985287205228e+002°)
3.80189396320558e+002	(-2.00000003058650e+001dB,1.79984944500228e+002°)
3.89045144994278e+002	(-2.00000003202797e+001dB,1.79984593812603e+002°)
3.98107170553494e+002	(-2.00000003353742e+001dB,1.79984234956416e+002°)
4.07380277804110e+002	(-2.00000003511798e+001dB,1.79983867741395e+002°)
4.16869383470332e+002	(-2.00000003677304e+001dB,1.79983491972839e+002°)
4.26579518801589e+002	(-2.00000003850610e+001dB,1.79983107451510e+002°)
4.36515832240163e+002	(-2.00000004032084e+001dB,1.79982713973531e+002°)
4.46683592150960e+002	(-2.00000004222108e+001dB,1.79982311330273e+002°)
4.57088189614872e+002	(-2.00000004421092e+001dB,1.79981899308251e+002°)
4.67735141287195e+002	(-2.00000004629452e+001dB,1.79981477689005e+002°)
4.78630092322635e+002	(-2.00000004847632e+001dB,1.79981046248987e+002°)
4.89778819368443e+002	(-2.00000005076094e+001dB,1.79980604759441e+002°)
5.01187233627268e+002	(-2.00000005315322e+001dB,1.79980152986286e+002°)
5.12861383991361e+002	(-2.00000005565825e+001dB,1.79979690689984e+002°)
5.24807460249769e+002	(-2.00000005828134e+001dB,1.79979217625421e+002°)
5.37031796370249e+002	(-2.00000006102807e+001dB,1.79978733541771e+002°)
5.49540873857620e+002	(-2.00000006390422e+001dB,1.79978238182368e+002°)
5.62341325190345e+002	(-2.00000006691594e+001dB,1.79977731284564e+002°)
